,backbone,learning_rate,momentum,decay,scheduler,cosine_period,step_period,initialization,trained
0,resnet34,0.0041144470309915,0.99,0.0028668294359542,CosineRestart,10,10,Kaiming,Trained
1,resnet34,0.0104919647369703,0.95,0.0005291491504525,CosineRestart,20,30,Kaiming,Trained
2,resnet18,0.002943498826236,0.95,0.0080201994038811,step,5,10,Xavier,Trained
3,resnet18,0.0022065900943704,0.8,0.0001023433411982,CosineRestart,20,20,Kaiming,Trained
4,resnet18,0.0046173485408707,0.8,0.0041033010460538,step,15,10,Kaiming,Trained
5,resnet34,0.0015393821402378,0.99,0.0022569551139138,CosineRestart,15,20,Kaiming,Trained
6,resnet18,0.0330958525022353,0.9,0.0005466060488988,step,10,30,Kaiming,Trained
7,resnet34,0.083868661540554,0.8,0.0001838403861621,CosineRestart,10,30,Xavier,Trained
8,resnet18,0.0415951880629394,0.95,0.0003838504815437,CosineRestart,10,20,Kaiming,Trained
9,resnet18,0.0008124757833572,0.9,0.0048842030527805,step,5,20,Xavier,Trained
10,resnet34,0.0097674807429613,0.95,0.0037678451851497,CosineRestart,20,20,Kaiming,Trained
11,resnet18,0.0414859618123327,0.8,0.0052120570055701,step,20,10,Kaiming,Trained
12,resnet34,0.0147442432844872,0.8,0.0043920585490575,CosineRestart,5,40,Kaiming,Trained
13,resnet18,0.0539431635298993,0.8,0.0026827697202186,CosineRestart,10,20,Xavier,Trained
14,resnet34,0.0001485116514505,0.9,0.0002400729479848,CosineRestart,15,40,Kaiming,Trained
15,resnet34,0.0114141356519084,0.95,0.0002192654087199,step,5,20,Kaiming,Trained
16,resnet34,0.0022989927528613,0.99,0.0021968003562432,CosineRestart,5,30,Xavier,Trained
17,resnet34,0.0004107933945025,0.95,0.0011343536282404,CosineRestart,5,10,Kaiming,Trained
18,resnet34,0.0601581573154134,0.9,0.0021264585635045,CosineRestart,10,40,Kaiming,Trained
19,resnet34,0.0718963439599072,0.95,0.000876602995478,step,5,10,Xavier,Trained
20,resnet18,0.001181356701993,0.8,0.0012614620670293,CosineRestart,5,10,Kaiming,Trained
21,resnet34,0.0032646421046284,0.99,0.0004652855938378,step,5,10,Xavier,Trained
22,resnet18,0.065920801718232,0.99,0.0009984554765121,step,5,30,Kaiming,Trained
23,resnet18,0.0719797658835804,0.99,0.0031406922414525,step,20,40,Xavier,Trained
24,resnet34,0.0001800202691464,0.9,0.0017717411948096,CosineRestart,5,40,Kaiming,Trained
25,resnet18,0.0157714673625293,0.99,0.0031763270711043,CosineRestart,10,20,Kaiming,Trained
26,resnet18,0.0147826530635615,0.9,0.0005227996324507,step,20,30,Xavier,Trained
27,resnet18,0.0002127788527728,0.9,0.0025272146560647,CosineRestart,20,30,Xavier,Trained
28,resnet34,0.0007724120123978,0.8,0.0003465000592448,step,10,10,Xavier,Trained
29,resnet34,0.0010459966665282,0.99,0.0053382800697618,CosineRestart,20,40,Kaiming,Trained
30,resnet18,0.0135486218109888,0.99,0.0011287113767832,CosineRestart,10,30,Kaiming,Trained
31,resnet18,0.0093436078322652,0.8,0.0015826021800269,CosineRestart,10,30,Kaiming,Trained
32,resnet18,0.0010622751704992,0.9,0.0009706742638348,CosineRestart,5,10,Xavier,Trained
33,resnet18,0.0069099945153146,0.99,0.0003137810881252,step,15,10,Kaiming,Trained
34,resnet18,0.0048775754215018,0.95,0.006487201734978,step,5,20,Xavier,Trained
35,resnet34,0.0355698560771215,0.95,0.0007317909334943,CosineRestart,10,30,Xavier,Trained
36,resnet18,0.000123410564948,0.99,0.0018244661285056,step,15,30,Kaiming,Trained
37,resnet18,0.0004833256244274,0.99,0.0025933131323092,CosineRestart,5,40,Kaiming,Trained
38,resnet34,0.0004718734114098,0.95,0.0097577880379031,step,10,30,Kaiming,Trained
39,resnet34,0.0039545567515839,0.99,0.0042404939523238,step,15,30,Xavier,Trained
40,resnet34,0.0056204762668433,0.8,0.0016640683035918,CosineRestart,15,20,Kaiming,Trained
41,resnet34,0.0765701503762252,0.99,0.0004587498019685,CosineRestart,15,40,Kaiming,Trained
42,resnet34,0.0097409267030501,0.8,0.0074501136045678,CosineRestart,10,20,Kaiming,Trained
43,resnet34,0.0120875607667628,0.8,0.0006982164521898,step,10,30,Kaiming,Trained
44,resnet18,0.0003289499858492,0.95,0.0002137803213393,step,15,40,Kaiming,Trained
45,resnet34,0.0746307514507695,0.95,0.0003579305960769,step,5,30,Kaiming,Trained
46,resnet34,0.0001179611339993,0.95,0.0001716067060655,CosineRestart,15,20,Kaiming,Trained
47,resnet34,0.0022574154082555,0.9,0.0036309157930273,step,5,10,Xavier,Trained
48,resnet18,0.0261340442798224,0.8,0.0019375909541057,step,5,30,Kaiming,Trained
49,resnet18,0.0313021059301836,0.99,0.0097915993394009,step,10,10,Kaiming,Trained
50,resnet34,0.0060231271834148,0.9,0.000598435421626,CosineRestart,5,20,Xavier,Trained
51,resnet34,0.0948784735785777,0.95,0.0004671127833115,step,5,20,Kaiming,Trained
52,resnet18,0.0008578569545992,0.95,0.0069905379771975,step,10,30,Xavier,Trained
53,resnet18,0.002505903952088,0.99,0.0024161723489389,CosineRestart,20,10,Kaiming,Trained
54,resnet34,0.0024269138740986,0.95,0.0006909303455197,step,15,40,Kaiming,Trained
55,resnet18,0.0819111307173519,0.99,0.0020989271973486,CosineRestart,10,20,Kaiming,Trained
56,resnet34,0.043043303445518,0.99,0.0049338468752744,step,10,20,Xavier,Trained
57,resnet18,0.0017184598853385,0.95,0.0013287341651574,CosineRestart,10,40,Kaiming,Trained
58,resnet34,0.0903877996837162,0.9,0.0001518076233477,step,20,30,Xavier,Trained
59,resnet18,0.0002690583193336,0.9,0.0021320563932274,step,10,20,Kaiming,Trained
60,resnet34,0.0096900323152916,0.9,0.0025296758990888,step,5,20,Xavier,Trained
61,resnet18,0.0014630585550112,0.95,0.0037660108247506,step,20,10,Kaiming,Trained
62,resnet34,0.0042956473499051,0.9,0.0003970979877138,CosineRestart,15,40,Kaiming,Trained
63,resnet34,0.0037034787509243,0.99,0.0089381202256725,step,5,20,Kaiming,Trained
64,resnet34,0.0006833885644345,0.9,0.008866308337941,CosineRestart,10,20,Kaiming,Trained
65,resnet34,0.0901671458616776,0.95,0.0010215355487186,CosineRestart,15,10,Kaiming,Trained
66,resnet34,0.0291935222334592,0.99,0.0017347436439552,CosineRestart,15,30,Kaiming,Trained
67,resnet18,0.0328516838362328,0.99,0.0001836554065992,CosineRestart,15,20,Kaiming,Trained
68,resnet34,0.0014646327528033,0.9,0.0022855832913813,step,10,30,Kaiming,Trained
69,resnet34,0.0001920734019616,0.9,0.0032429265934581,CosineRestart,20,10,Kaiming,Trained
70,resnet18,0.0090165345644631,0.99,0.0010340236236091,CosineRestart,5,10,Kaiming,Trained
71,resnet18,0.000152565821959,0.95,0.0019050813428438,CosineRestart,10,20,Xavier,Trained
